Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,43,3371,2170,1694,221,608,35,593,3507,10,55
E:\Users\Shawnski\Documents\GitHub\TestManager\src,43,3371,2170,1694,221,608,35,593,3507,10,55
